일자,종목,거래유형,단가,수량,금액
2023-02-10,로블록스,매수,42.41,1655,70195.75
2023-02-10,유니티,매수,61.61,1174,72326.43
2023-02-10,월트디즈니,매수,153.54,91,13972.40
2023-02-10,TSMC,매수,119.26,318,37923.85
2023-02-10,메타,매수,243.59,129,31423.18
2023-03-16,메타,매도,182.89,64,11704.96
2023-03-16,TSMC,매도,87.33,159,13885.47
2023-03-16,유니티,매도,27.41,587,16089.67
2023-03-16,월트디즈니,매도,93.49,45,4207.05
2023-03-16,로블록스,매도,39.59,827,32740.93
2023-03-20,로블록스,매도,42.42,414,17561.88
2023-03-20,메타,매도,191.29,32,6121.28
2023-03-28,유니티,매도,30.17,293,8839.81
2023-04-07,유니티,매도,31.71,147,4661.37
2023-04-07,월트디즈니,매도,99.03,23,2277.69
2023-04-07,TSMC,매도,92.84,79,7334.36
2023-04-07,로블록스,매도,46.15,207,9553.05
2023-04-11,메타,매도,213.38,16,3414.08
2023-04-24,QSSS,매수,30.40,907,27572.80
2023-05-08,TSMC,매수,83.10,127,10553.70
2023-05-08,로블록스,매수,34.56,868,29998.08
2023-05-08,유니티,매수,25.61,577,14776.97
2023-05-09,QSSS,매도,30.80,907,27935.60
2023-05-10,로블록스,매도,36.11,5,
2023-05-10,로블록스,매도,36.02,863,
2023-05-10,유니티,매도,28.00,577,
2023-05-10,TSMC,매도,85.20,127,
2023-05-10,QSSS,매수,28.30,1060,
2023-05-18,QSSS,매수,26.38,568,
2023-05-18,QSSS,매수,25.46,589,